employee_id,first_name,last_name,department,password,phone_number
ur02,Isha,Patel,ECE,LMS@user1234,9876543201
ur03,Vihaan,Kumar,MECH,LMS@user1234,9876543202
ur04,Ananya,Verma,CIVIL,LMS@user1234,9876543203
ur05,Aditya,Gupta,AI,LMS@user1234,9876543204
ur06,Simran,Singh,NON_TEACHING,LMS@user1234,9876543205
ur07,Rohan,Sharma,MATH,LMS@user1234,9876543206
ur08,Neha,Mehta,ENGLISH,LMS@user1234,9876543207
ur09,Arjun,Reddy,CSE,LMS@user1234,9876543208
ur10,Ananya,Patel,ECE,LMS@user1234,9876543209
ur11,Krishna,Yadav,MECH,LMS@user1234,9876543210
ur12,Prisha,Verma,CIVIL,LMS@user1234,9876543211
ur13,Devansh,Sharma,AI,LMS@user1234,9876543212
ur14,Pooja,Gupta,NON_TEACHING,LMS@user1234,9876543213
ur15,Om,Patel,MATH,LMS@user1234,9876543214
ur16,Tanya,Mehta,ENGLISH,LMS@user1234,9876543215
ur17,Raghav,Kumar,CSE,LMS@user1234,9876543216
ur18,Kavya,Verma,ECE,LMS@user1234,9876543217
ur19,Shivansh,Sharma,MECH,LMS@user1234,9876543218
ur20,Diya,Gupta,CIVIL,LMS@user1234,9876543219
ur21,Akash,Yadav,AI,LMS@user1234,9876543220
ur22,Reema,Patel,NON_TEACHING,LMS@user1234,9876543221
ur23,Siddharth,Sharma,MATH,LMS@user1234,9876543222
ur24,Ananya,Singh,ENGLISH,LMS@user1234,9876543223
ur25,Manav,Reddy,CSE,LMS@user1234,9876543224
ur26,Pari,Kumar,ECE,LMS@user1234,9876543225
ur27,Harsh,Gupta,MECH,LMS@user1234,9876543226
ur28,Krutika,Verma,CIVIL,LMS@user1234,9876543227
ur29,Arjun,Sharma,AI,LMS@user1234,9876543228
ur30,Meera,Patel,NON_TEACHING,LMS@user1234,9876543229
ur31,Vedant,Sharma,MATH,LMS@user1234,9876543230
ur32,Sanya,Mehta,ENGLISH,LMS@user1234,9876543231
ur33,Yash,Gupta,CSE,LMS@user1234,9876543232
ur34,Komal,Verma,ECE,LMS@user1234,9876543233
ur35,Ayaan,Yadav,MECH,LMS@user1234,9876543234
ur36,Shruti,Sharma,CIVIL,LMS@user1234,9876543235
ur37,Pranav,Gupta,AI,LMS@user1234,9876543236
ur38,Riya,Patel,NON_TEACHING,LMS@user1234,9876543237
ur39,Aditya,Singh,MATH,LMS@user1234,9876543238
ur40,Kavya,Mehta,ENGLISH,LMS@user1234,9876543239
ur41,Nishant,Kumar,CSE,LMS@user1234,9876543240
ur42,Neha,Verma,ECE,LMS@user1234,9876543241
ur43,Shiv,Sharma,MECH,LMS@user1234,9876543242
ur44,Jiya,Gupta,CIVIL,LMS@user1234,9876543243
ur45,Harshita,Yadav,AI,LMS@user1234,9876543244
ur46,Karan,Patel,NON_TEACHING,LMS@user1234,9876543245
ur47,Manisha,Sharma,MATH,LMS@user1234,9876543246
ur48,Krishna,Mehta,ENGLISH,LMS@user1234,9876543247
ur49,Siddhi,Gupta,CSE,LMS@user1234,9876543248
ur50,Priyanka,Verma,ECE,LMS@user1234,9876543249
ur51,Shivansh,Kumar,MECH,LMS@user1234,9876543250
ur52,Anjali,Patel,CIVIL,LMS@user1234,9876543251
ur53,Samarth,Sharma,AI,LMS@user1234,9876543252
ur54,Komal,Yadav,NON_TEACHING,LMS@user1234,9876543253
ur55,Purvi,Singh,MATH,LMS@user1234,9876543254
ur56,Aryan,Mehta,ENGLISH,LMS@user1234,9876543255
ur57,Varun,Kumar,CSE,LMS@user1234,9876543256
ur58,Akanksha,Verma,ECE,LMS@user1234,9876543257
ur59,Sahil,Sharma,MECH,LMS@user1234,9876543258
ur60,Shraddha,Gupta,CIVIL,LMS@user1234,9876543259
ur61,Reyansh,Yadav,AI,LMS@user1234,9876543260
ur62,Suman,Patel,NON_TEACHING,LMS@user1234,9876543261
ur63,Vansh,Singh,MATH,LMS@user1234,9876543262
ur64,Meghna,Mehta,ENGLISH,LMS@user1234,9876543263
ur65,Aarav,Gupta,CSE,LMS@user1234,9876543264
ur66,Snehal,Verma,ECE,LMS@user1234,9876543265
ur67,Ritesh,Kumar,MECH,LMS@user1234,9876543266
ur68,Simran,Sharma,CIVIL,LMS@user1234,9876543267
ur69,Ravindra,Gupta,AI,LMS@user1234,9876543268
ur70,Priya,Patel,NON_TEACHING,LMS@user1234,9876543269
ur71,Shubham,Sharma,MATH,LMS@user1234,9876543270
ur72,Radhika,Mehta,ENGLISH,LMS@user1234,9876543271
ur73,Dev,Gupta,CSE,LMS@user1234,9876543272
ur74,Shikha,Verma,ECE,LMS@user1234,9876543273
ur75,Anmol,Kumar,MECH,LMS@user1234,9876543274
ur76,Sanya,Patel,CIVIL,LMS@user1234,9876543275
ur77,Abhinav,Yadav,AI,LMS@user1234,9876543276
ur78,Neelam,Sharma,NON_TEACHING,LMS@user1234,9876543277
ur79,Tarun,Singh,MATH,LMS@user1234,9876543278
ur80,Swati,Mehta,ENGLISH,LMS@user1234,9876543279
ur81,Kushal,Kumar,CSE,LMS@user1234,9876543280
ur82,Aditi,Gupta,ECE,LMS@user1234,9876543281
ur83,Harit,Sharma,MECH,LMS@user1234,9876543282
ur84,Rupal,Verma,CIVIL,LMS@user1234,9876543283
ur85,Chirag,Yadav,AI,LMS@user1234,9876543284
ur86,Snehal,Patel,NON_TEACHING,LMS@user1234,9876543285
ur87,Khushbu,Sharma,MATH,LMS@user1234,9876543286
ur88,Neha,Singh,ENGLISH,LMS@user1234,9876543287
ur89,Yash,Kumar,CSE,LMS@user1234,9876543288
ur90,Parul,Verma,ECE,LMS@user1234,9876543289
ur91,Anshul,Sharma,MECH,LMS@user1234,9876543290
ur92,Shreya,Gupta,CIVIL,LMS@user1234,9876543291
ur93,Nikhil,Yadav,AI,LMS@user1234,9876543292
ur94,Ritika,Patel,NON_TEACHING,LMS@user1234,9876543293
ur95,Raj,Sharma,MATH,LMS@user1234,9876543294
ur96,Sweta,Mehta,ENGLISH,LMS@user1234,9876543295
ur97,Karan,Gupta,CSE,LMS@user1234,9876543296
ur98,Neha,Verma,ECE,LMS@user1234,9876543297
ur99,Rohit,Sharma,MECH,LMS@user1234,9876543298
ur100,Vaishnavi,Yadav,CIVIL,LMS@user1234,9876543299 
